time,PM10,T2,rh2,slp,PBLH,RAINC,wind_speed_10m,wind_speed_925hPa,U10,V10
1960-02-15,4407.798,297.72733,12.142868,1011.5641,578.86444,0.0,8.306538,17.160158,-5.469295,-6.25183
1960-02-16,3812.6235,297.27893,10.82873,1011.25464,533.82153,0.0,7.136056,15.829577,-4.506651,-5.532937
1960-02-17,4781.4272,297.65445,8.933441,1011.03406,620.34625,0.0,8.474938,19.356503,-6.082664,-5.9013376
1960-02-18,5251.6675,297.8902,8.791176,1013.2652,608.4509,0.0,9.662811,19.085663,-7.2750397,-6.359537
1960-02-19,4107.4717,297.0735,12.318153,1014.0565,512.64465,0.0,7.787838,15.291171,-5.869796,-5.1181946
1960-02-20,3565.7607,297.7435,13.750814,1013.5535,502.9134,0.0,7.2166767,14.78998,-4.728145,-5.45207
1960-02-21,4529.6685,298.53918,12.284496,1012.15076,664.39935,0.0,7.510791,17.67542,-5.4177084,-5.2019625
1960-02-22,5338.4873,298.53485,13.835299,1010.5908,677.9786,0.0,8.8744335,19.26997,-6.579257,-5.955581
1960-02-23,4716.9404,298.67584,16.155706,1010.4657,558.9542,0.0,7.5056314,15.649164,-4.7727623,-5.792689
1960-02-24,6118.318,300.0055,10.869137,1010.4296,668.0682,0.0,9.921924,19.924202,-6.822746,-7.203798
1960-02-25,6505.2793,299.3876,9.919437,1012.0363,793.214,0.0,11.111929,21.959116,-7.9408855,-7.772856
1960-02-26,4947.752,297.33942,13.850179,1013.5027,726.2833,0.0,8.952957,18.901705,-6.665534,-5.977131
1960-02-27,4070.1025,296.4975,12.699796,1012.27185,629.4987,0.0,8.0087185,16.58804,-5.8835406,-5.4335546
1960-02-28,3668.2612,296.43243,11.007934,1010.939,568.6737,0.0,7.1385646,15.487448,-5.085213,-5.009961
1960-02-29,3955.811,296.2447,15.098061,1009.8688,532.87976,0.0,6.7834454,14.068669,-4.8457146,-4.7470183
1960-03-01,5236.0815,295.6492,24.287888,1011.7885,693.672,0.0,9.570994,15.690764,-7.2379084,-6.2623167
1960-03-02,5115.5356,294.738,23.990711,1014.72327,819.80347,0.0,9.784693,20.212458,-7.2308087,-6.592087
1960-03-03,3998.2505,295.48184,19.265038,1013.4744,638.77496,0.0,8.089665,16.299501,-5.5721817,-5.8645954
1960-03-04,4378.839,297.17377,15.181064,1011.8882,628.39636,0.0,8.187952,16.256449,-5.495594,-6.0696797
1960-03-05,4509.391,298.5297,13.87426,1009.7268,566.9175,0.0,7.763491,14.749717,-5.1989937,-5.76561
1960-03-06,3107.052,298.8368,14.4892645,1007.821,490.28967,0.0,5.5530257,9.748081,-3.0129936,-4.664543
1960-03-07,2353.651,299.18115,15.331992,1006.0974,438.0778,0.0,5.034129,8.452955,-1.1204607,-4.907853
1960-03-08,1521.1117,299.8452,15.047613,1005.74927,551.9465,0.0,4.1192102,8.948198,0.580238,-4.078139
1960-03-09,2087.8003,300.1491,5.8775563,1005.3406,753.3467,0.0,5.7413616,12.291656,3.0089786,-4.889712
1960-03-10,4816.8594,298.24344,12.566469,1007.49133,704.75494,0.0,5.557425,16.726892,-2.313375,-5.0530457
1960-03-11,6320.8154,299.73187,10.013158,1007.9644,691.811,0.0,10.08134,20.58209,-6.459382,-7.7401423
1960-03-12,5276.7754,300.36057,24.769335,1007.20197,472.6308,2.3916986,9.77265,16.556074,-6.1839156,-7.5672894
1960-03-13,2268.8066,302.36578,38.799656,1006.53625,627.54395,4.029851,4.164408,8.75041,-2.2662687,-3.4937546
1960-03-14,3054.0718,301.00232,53.0336,1008.802,526.34,4.7793627,8.023304,12.485692,-7.216272,-3.5069675
1960-03-15,2274.3499,301.2624,33.211956,1009.87006,522.81274,8.298399,6.2002625,7.805855,-4.5106716,-4.2540684
1960-03-16,2274.375,301.6475,16.031189,1008.6985,498.7687,9.231176,4.7230263,10.154595,-3.9529529,-2.5847902
1960-03-17,3393.1104,301.4738,15.17956,1008.4227,560.00275,9.231176,6.2638936,12.406065,-4.8088026,-4.0139484
1960-03-18,2878.893,301.14935,11.360241,1007.4553,434.4804,9.231176,5.6473784,10.585548,-4.2063236,-3.768252
1960-03-19,1685.9541,300.97134,13.0887985,1005.5406,346.83704,9.231176,3.9844763,4.8067074,-2.8692408,-2.7646897
1960-03-20,871.5447,302.4472,13.342961,1006.38995,311.69873,9.231176,2.4532166,3.8399172,-0.25116497,-2.4403253
1960-03-21,1760.791,301.54074,11.281966,1008.39966,467.04944,9.231176,4.2835093,6.8156905,-0.9016963,-4.1875286
1960-03-22,3407.3503,299.55826,15.137501,1009.27655,507.21387,9.231176,6.3876147,11.9808445,-4.160821,-4.846565
1960-03-23,5766.223,301.2115,12.378819,1009.7293,698.21326,9.231176,9.946902,18.950996,-7.2107344,-6.8517284
1960-03-24,6411.4365,301.57944,11.027823,1010.7599,673.16974,9.231176,10.716413,20.357079,-8.186989,-6.914819
1960-03-25,3673.1987,302.51782,12.982358,1008.8849,464.07962,9.231176,7.145331,11.843961,-5.7889767,-4.1884966
1960-03-26,2409.67,304.8758,12.620504,1008.00616,473.5421,9.231176,5.5911455,10.005487,-5.008648,-2.4848244
1960-03-27,1673.4607,304.53912,14.073137,1006.3706,328.53366,9.231176,5.001465,6.2798305,-3.286995,-3.769657
1960-03-28,842.2588,305.13736,12.80199,1005.5149,620.556,9.231176,3.4735632,4.2832546,-1.0379231,-3.3148692
1960-03-29,1437.5348,306.25156,9.554452,1004.8653,379.2938,9.231176,3.3882623,9.457136,-1.229093,-3.1574755
1960-03-30,1279.2792,306.38635,8.306322,1004.91797,334.07663,9.231176,3.6467402,6.79361,-0.9542859,-3.5196664
1960-03-31,3039.8315,300.7912,10.716721,1003.67883,255.15833,9.231176,4.003767,9.6191,-1.8998094,-3.5243263
1960-04-01,537.36395,308.32202,38.994118,1002.42303,857.0525,0.04866561,2.7040608,5.2768226,-0.26874793,2.6906726
1960-04-02,2336.5234,307.43997,46.008163,1003.7091,690.1888,0.14599682,5.5302644,9.793276,3.4320147,4.336485
1960-04-03,3386.8184,305.69995,33.863174,1005.1571,651.6754,0.14599682,4.645804,6.045042,-4.550047,-0.93838495
1960-04-04,7822.8594,302.51825,15.408136,1006.79846,794.5343,0.14599682,10.693402,20.34729,-8.018634,-7.074628
1960-04-05,6017.539,302.1215,14.420278,1006.583,674.78143,0.14599682,9.87143,19.0582,-7.4056325,-6.527001
1960-04-06,4274.0493,302.94168,11.236489,1006.7013,494.2051,0.14599682,7.578521,14.518165,-5.5221505,-5.190359
1960-04-07,3330.405,304.9596,8.869186,1006.70026,601.91644,0.14599682,6.3754787,12.367013,-3.0264342,-5.611366
1960-04-08,5171.957,305.87543,9.162856,1009.10345,844.50183,0.14599682,9.259743,18.113157,-7.433149,-5.521878
1960-04-09,4571.4746,303.94516,14.779472,1010.13965,879.98346,0.14599682,8.865466,18.008247,-7.2824364,-5.0559483
